coin,datetime,price,volume
avalanche-2,2025-02-02 00:00:00,32.224672305224274,295157477.65411234
avalanche-2,2025-02-03 00:00:00,27.440534730531102,807967874.5903835
avalanche-2,2025-02-04 00:00:00,28.384520680812535,1927448390.3853238
avalanche-2,2025-02-05 00:00:00,26.502613436324033,694207906.1912452
avalanche-2,2025-02-06 00:00:00,25.906964325816567,380278525.79242826
avalanche-2,2025-02-07 00:00:00,24.48427516088455,370708013.8009966
avalanche-2,2025-02-08 00:00:00,24.400600056663496,379452750.80948436
avalanche-2,2025-02-09 00:00:00,24.588690538931782,193117215.57024083
avalanche-2,2025-02-10 00:00:00,24.893274321017916,283366330.20291907
avalanche-2,2025-02-11 00:00:00,25.58997652902764,331230256.21631557
avalanche-2,2025-02-12 00:00:00,25.370055903418475,380358483.94860345
avalanche-2,2025-02-13 00:00:00,26.497318535378657,465088572.19771016
avalanche-2,2025-02-14 00:00:00,25.42528985276452,300989927.61948955
avalanche-2,2025-02-15 00:00:00,26.38165898964795,321040606.40296113
avalanche-2,2025-02-16 00:00:00,25.489206974912715,201184817.09617496
avalanche-2,2025-02-17 00:00:00,24.855318096176628,215351067.55942658
avalanche-2,2025-02-18 00:00:00,25.016136138597577,342179974.0180377
avalanche-2,2025-02-19 00:00:00,23.49176816567649,390655774.47508144
avalanche-2,2025-02-20 00:00:00,23.71224943472529,296857138.58568555
avalanche-2,2025-02-21 00:00:00,25.160681534913994,364329382.9089256
avalanche-2,2025-02-22 00:00:00,24.56269275572274,614127933.576191
avalanche-2,2025-02-23 00:00:00,25.798541141063033,397645316.8825335
avalanche-2,2025-02-24 00:00:00,24.879297924342154,253625758.55196768
avalanche-2,2025-02-25 00:00:00,21.819616962435123,570735152.5106087
avalanche-2,2025-02-26 00:00:00,21.960320821830884,971942575.8917528
avalanche-2,2025-02-27 00:00:00,21.77543431430379,540237075.6540569
avalanche-2,2025-02-28 00:00:00,22.500711276282416,424935067.23917454
avalanche-2,2025-03-01 00:00:00,22.3645872408828,752744502.8114376
avalanche-2,2025-03-02 00:00:00,21.866944314659996,275225577.23083436
avalanche-2,2025-03-03 00:00:00,24.905622025235463,834666086.6667726
avalanche-2,2025-03-04 00:00:00,20.968208714697624,626024637.3593105
avalanche-2,2025-03-05 00:00:00,20.027366559776787,787393437.1750134
avalanche-2,2025-03-06 00:00:00,21.75387932199502,578331277.4683999
avalanche-2,2025-03-07 00:00:00,21.062719398920557,500095934.0538664
avalanche-2,2025-03-08 00:00:00,20.099213805896714,563021811.681616
avalanche-2,2025-03-09 00:00:00,20.46571711441328,303492044.40187514
avalanche-2,2025-03-10 00:00:00,17.974478395195543,319324503.76081413
avalanche-2,2025-03-11 00:00:00,16.388675680466818,540555527.6653192
avalanche-2,2025-03-12 00:00:00,17.515110714274186,686930717.2455206
avalanche-2,2025-03-13 00:00:00,18.902307825588476,430731234.8014707
avalanche-2,2025-03-14 00:00:00,18.49522601511953,361679225.06795
